Slot Id,Time slot,Imbalance price,DA price,Wind,Biomass,Fossil Gas,Fossil Hard Coal,Fossil Oil,Solar,Waste
151,02.06.2025 13:30 - 02.06.2025 13:45,7.35,7.35,707,107.41,109.61,171,24.49,2408.08,113.03
152,02.06.2025 13:45 - 02.06.2025 14:00,48.5,7.35,695,107.41,109.61,171,24.49,2408.08,113.03
153,02.06.2025 14:00 - 02.06.2025 14:15,-13.41,9.58,681,104.79,112.16,184.14,25.72,2503.09,100.98
154,02.06.2025 14:15 - 02.06.2025 14:30,-13.41,9.58,658,104.79,112.16,184.14,25.72,2503.09,100.98
155,02.06.2025 14:30 - 02.06.2025 14:45,-8.43,9.58,639,104.79,112.16,184.14,25.72,2503.09,100.98
156,02.06.2025 14:45 - 02.06.2025 15:00,-4.61,9.58,624,104.79,112.16,184.14,25.72,2503.09,100.98
157,02.06.2025 15:00 - 02.06.2025 15:15,-13.35,12.2,612,104.75,107.96,157.94,26.73,2254.24,95.62
158,02.06.2025 15:15 - 02.06.2025 15:30,-13.41,12.2,588,104.75,107.96,157.94,26.73,2254.24,95.62
159,02.06.2025 15:30 - 02.06.2025 15:45,-13.41,12.2,557,104.75,107.96,157.94,26.73,2254.24,95.62
160,02.06.2025 15:45 - 02.06.2025 16:00,-11.07,12.2,540,104.75,107.96,157.94,26.73,2254.24,95.62
161,02.06.2025 16:00 - 02.06.2025 16:15,-13.41,10.81,539,109.86,124.55,175.26,35.8,2167.9,96.68
162,02.06.2025 16:15 - 02.06.2025 16:30,-5.59,10.81,546,109.86,124.55,175.26,35.8,2167.9,96.68
163,02.06.2025 16:30 - 02.06.2025 16:45,-11.24,10.81,556,109.86,124.55,175.26,35.8,2167.9,96.68
164,02.06.2025 16:45 - 02.06.2025 17:00,-2,10.81,568,109.86,124.55,175.26,35.8,2167.9,96.68
165,02.06.2025 17:00 - 02.06.2025 17:15,-11.48,38.42,581,108.58,126.2,168.01,32.98,1877.35,98.03
166,02.06.2025 17:15 - 02.06.2025 17:30,-13.41,38.42,593,108.58,126.2,168.01,32.98,1877.35,98.03
167,02.06.2025 17:30 - 02.06.2025 17:45,-13.41,38.42,604,108.58,126.2,168.01,32.98,1877.35,98.03
168,02.06.2025 17:45 - 02.06.2025 18:00,-13.41,38.42,611,108.58,126.2,168.01,32.98,1877.35,98.03
169,02.06.2025 18:00 - 02.06.2025 18:15,78.09,78.09,607,158.6,115.83,150.92,27.24,1336.01,97.49
170,02.06.2025 18:15 - 02.06.2025 18:30,78.09,78.09,597,158.6,115.83,150.92,27.24,1336.01,97.49
171,02.06.2025 18:30 - 02.06.2025 18:45,78.09,78.09,584,158.6,115.83,150.92,27.24,1336.01,97.49
172,02.06.2025 18:45 - 02.06.2025 19:00,1.12,78.09,576,158.6,115.83,150.92,27.24,1336.01,97.49
173,02.06.2025 19:00 - 02.06.2025 19:15,708.96,95.87,572,181.52,124.17,137.06,22.6,684.33,97.3
174,02.06.2025 19:15 - 02.06.2025 19:30,-7.89,95.87,572,181.52,124.17,137.06,22.6,684.33,97.3
175,02.06.2025 19:30 - 02.06.2025 19:45,29.78,95.87,572,181.52,124.17,137.06,22.6,684.33,97.3
176,02.06.2025 19:45 - 02.06.2025 20:00,804.45,95.87,568,181.52,124.17,137.06,22.6,684.33,97.3
177,02.06.2025 20:00 - 02.06.2025 20:15,673.51,195.92,560,202.81,131.45,131.05,23.74,257.47,95.16
178,02.06.2025 20:15 - 02.06.2025 20:30,195.92,195.92,548,202.81,131.45,131.05,23.74,257.47,95.16
179,02.06.2025 20:30 - 02.06.2025 20:45,710.16,195.92,533,202.81,131.45,131.05,23.74,257.47,95.16
180,02.06.2025 20:45 - 02.06.2025 21:00,450.29,195.92,520,202.81,131.45,131.05,23.74,257.47,95.16
181,02.06.2025 21:00 - 02.06.2025 21:15,7.16,204,510,174.46,128.5,124.63,20.11,47.83,94.25
182,02.06.2025 21:15 - 02.06.2025 21:30,54.35,204,505,174.46,128.5,124.63,20.11,47.83,94.25
183,02.06.2025 21:30 - 02.06.2025 21:45,269.98,204,500,174.46,128.5,124.63,20.11,47.83,94.25
184,02.06.2025 21:45 - 02.06.2025 22:00,6.38,204,498,174.46,128.5,124.63,20.11,47.83,94.25
185,02.06.2025 22:00 - 02.06.2025 22:15,53.56,141.67,496,190.48,119.77,125.68,20.35,2.83,97
186,02.06.2025 22:15 - 02.06.2025 22:30,46.39,141.67,491,190.48,119.77,125.68,20.35,2.83,97
187,02.06.2025 22:30 - 02.06.2025 22:45,7.6,141.67,485,190.48,119.77,125.68,20.35,2.83,97
188,02.06.2025 22:45 - 02.06.2025 23:00,-4.14,141.67,479,190.48,119.77,125.68,20.35,2.83,97
189,02.06.2025 23:00 - 02.06.2025 23:15,-5.8,94.53,472,165.6,107.27,124.04,20.01,2.28,94.16
190,02.06.2025 23:15 - 02.06.2025 23:30,8,94.53,463,165.6,107.27,124.04,20.01,2.28,94.16
191,02.06.2025 23:30 - 02.06.2025 23:45,-8.35,94.53,402,165.6,107.27,124.04,20.01,2.28,94.16
192,02.06.2025 23:45 - 03.06.2025 00:00,-1,94.53,402,165.6,107.27,124.04,20.01,2.28,94.16
193,03.06.2025 00:00 - 03.06.2025 00:15,8.92,111.5,364,175.47,99.86,122.48,19.75,2.4,92.72
194,03.06.2025 00:15 - 03.06.2025 00:30,8,111.5,381,175.47,99.86,122.48,19.75,2.4,92.72
195,03.06.2025 00:30 - 03.06.2025 00:45,-20.3,111.5,368,175.47,99.86,122.48,19.75,2.4,92.72
196,03.06.2025 00:45 - 03.06.2025 01:00,-26.73,111.5,332,175.47,99.86,122.48,19.75,2.4,92.72
197,03.06.2025 01:00 - 03.06.2025 01:15,-26.8,109.91,332,157.55,94.13,119.55,19.28,2.18,91.96
198,03.06.2025 01:15 - 03.06.2025 01:30,-5.61,109.91,321,157.55,94.13,119.55,19.28,2.18,91.96
